                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7775,                 2.4984,                0.90386,                0.03634,                0.18911,                0.13166,                  0.053,                 1.6618,                  3.084,                0.85582,             0.00040598,             0.00040598,             0.00040598
                      2,                 1.6162,                  1.264,                0.85998,                0.94379,                0.13373,                0.19109,                0.09795,                 1.6255,                 2.0173,                0.86235,             0.00078193,             0.00078193,             0.00078193
                      3,                 1.5853,                  1.162,                0.84938,                0.85133,                0.21731,                 0.2519,                0.13899,                 1.4198,                 1.4701,                 0.8405,              0.0011166,              0.0011166,              0.0011166
                      4,                 1.4454,                 1.0488,                0.83768,                0.85202,                 0.2575,                0.29042,                0.16809,                 1.4305,                 1.2353,                0.83779,              0.0010644,              0.0010644,              0.0010644
                      5,                 1.4695,                 1.0143,                0.83159,                0.93241,                0.25421,                0.32031,                0.18118,                 1.4206,                  1.009,                0.83093,              0.0010025,              0.0010025,              0.0010025
                      6,                 1.3919,                0.95356,                0.83229,                0.55949,                0.32174,                0.36111,                0.21874,                 1.2791,                0.89797,                0.82316,             0.00094062,             0.00094062,             0.00094062
                      7,                 1.4062,                0.92396,                0.82912,                0.72159,                0.41774,                0.47057,                0.28276,                 1.2875,                0.84818,                0.82178,             0.00087875,             0.00087875,             0.00087875
                      8,                 1.3199,                0.87711,                0.82684,                 0.8945,                0.40584,                0.50599,                0.30734,                 1.2223,                0.77886,                0.81981,             0.00081688,             0.00081688,             0.00081688
                      9,                 1.2998,                0.82998,                0.82668,                0.76321,                 0.4458,                0.53402,                0.30966,                 1.2491,                0.76022,                0.81946,               0.000755,               0.000755,               0.000755
                     10,                 1.3409,                0.80746,                0.82489,                0.70087,                0.47752,                0.49668,                0.30212,                 1.1744,                 0.7241,                0.81598,             0.00069313,             0.00069313,             0.00069313
                     11,                 1.2125,                0.82134,                0.82395,                0.74815,                0.47408,                0.52299,                0.29884,                 1.3015,                0.77372,                0.82206,             0.00063125,             0.00063125,             0.00063125
                     12,                 1.1659,                0.77354,                0.81933,                0.84637,                0.46898,                0.54435,                0.32161,                  1.252,                0.73533,                0.81914,             0.00056938,             0.00056938,             0.00056938
                     13,                 1.1462,                0.72799,                0.81722,                0.77434,                0.55603,                 0.5798,                0.35218,                 1.1707,                0.68288,                0.81314,              0.0005075,              0.0005075,              0.0005075
                     14,                 1.1403,                0.71814,                0.81529,                0.80085,                 0.5196,                0.57299,                0.35131,                  1.126,                0.67008,                0.81207,             0.00044563,             0.00044563,             0.00044563
                     15,                 1.1166,                0.68497,                0.81349,                0.81004,                0.51063,                0.58421,                0.35462,                 1.1396,                0.65018,                0.81066,             0.00038375,             0.00038375,             0.00038375
                     16,                 1.1032,                0.67179,                0.81229,                0.79462,                0.54336,                0.60194,                0.37656,                 1.0929,                0.63164,                0.80848,             0.00032188,             0.00032188,             0.00032188
                     17,                 1.0916,                0.65143,                 0.8114,                  0.807,                0.54586,                0.60167,                0.37712,                 1.0935,                0.62469,                0.80808,                0.00026,                0.00026,                0.00026
                     18,                 1.0879,                0.64498,                0.81272,                0.80845,                 0.5622,                0.59506,                 0.3662,                 1.1023,                0.62216,                0.80787,             0.00019813,             0.00019813,             0.00019813
                     19,                 1.0646,                0.63436,                0.80987,                0.84425,                0.55506,                0.61843,                0.38057,                 1.0904,                0.61001,                0.80743,             0.00013625,             0.00013625,             0.00013625
                     20,                 1.0546,                0.62216,                0.80767,                0.83853,                0.54352,                0.61778,                0.38167,                 1.0798,                0.60681,                0.80619,             7.4375e-05,             7.4375e-05,             7.4375e-05
